planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,referenced_planet,harmonic_ratio,luminosity,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars,stellar_flux_recent_venus,stellar_flux_runaway_greenhouse,stellar_flux_maximum_greenhouse,stellar_flux_early_mars
sun j,Aschwaden Prediction,176,0.614481836,sun,4.83,5780,4.85E-06,sun b,2 to 1,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,132,0.50724358,sun,4.83,5780,4.85E-06,sun b,3 to 2,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,146.6666667,0.544153657,sun,4.83,5780,4.85E-06,sun b,5 to 3,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,110,0.449188947,sun,4.83,5780,4.85E-06,sun b,5 to 4,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,117.3333333,0.468937406,sun,4.83,5780,4.85E-06,sun b,4 to 3,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,220,0.713043007,sun,4.83,5780,4.85E-06,sun b,5 to 2,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,264,0.805198992,sun,4.83,5780,4.85E-06,sun b,3 to 1,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,450,1.148224327,sun,4.83,5780,4.85E-06,sun c,2 to 1,1,Conservative HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,337.5,0.947838299,sun,4.83,5780,4.85E-06,sun c,3 to 2,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,375,1.016808684,sun,4.83,5780,4.85E-06,sun c,5 to 3,1,Conservative HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,281.25,0.839357075,sun,4.83,5780,4.85E-06,sun c,5 to 4,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,300,0.876259161,sun,4.83,5780,4.85E-06,sun c,4 to 3,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,562.5,1.332396304,sun,4.83,5780,4.85E-06,sun c,5 to 2,1,Conservative HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,675,1.504599512,sun,4.83,5780,4.85E-06,sun c,3 to 1,1,Conservative HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,730,1.587405814,sun,4.83,5780,4.85E-06,sun d,2 to 1,1,Conservative HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,547.5,1.310374628,sun,4.83,5780,4.85E-06,sun d,3 to 2,1,Conservative HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,608.3333333,1.405725326,sun,4.83,5780,4.85E-06,sun d,5 to 3,1,Conservative HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,456.25,1.16040069,sun,4.83,5780,4.85E-06,sun d,5 to 4,1,Conservative HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,486.6666667,1.211417363,sun,4.83,5780,4.85E-06,sun d,4 to 3,1,Conservative HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,912.5,1.842021275,sun,4.83,5780,4.85E-06,sun d,5 to 2,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,1095,2.080090063,sun,4.83,5780,4.85E-06,sun d,3 to 1,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,1374,2.418738857,sun,4.83,5780,4.85E-06,sun e,2 to 1,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,1030.5,1.996624935,sun,4.83,5780,4.85E-06,sun e,3 to 2,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,1145,2.141911311,sun,4.83,5780,4.85E-06,sun e,5 to 3,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,858.75,1.76810883,sun,4.83,5780,4.85E-06,sun e,5 to 4,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,916,1.845843212,sun,4.83,5780,4.85E-06,sun e,4 to 3,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,1717.5,2.806697817,sun,4.83,5780,4.85E-06,sun e,5 to 2,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,2061,3.169444522,sun,4.83,5780,4.85E-06,sun e,3 to 1,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,8666,8.259088933,sun,4.83,5780,4.85E-06,sun f,2 to 1,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,6499.5,6.8177277,sun,4.83,5780,4.85E-06,sun f,3 to 2,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,7221.666667,7.313826357,sun,4.83,5780,4.85E-06,sun f,5 to 3,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,5416.25,6.037430636,sun,4.83,5780,4.85E-06,sun f,5 to 4,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,5777.333333,6.302864488,sun,4.83,5780,4.85E-06,sun f,4 to 3,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,10832.5,9.583823742,sun,4.83,5780,4.85E-06,sun f,5 to 2,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,12999,10.82246812,sun,4.83,5780,4.85E-06,sun f,3 to 1,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,21518,15.13904383,sun,4.83,5780,4.85E-06,sun g,2 to 1,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,16138.5,12.49700534,sun,4.83,5780,4.85E-06,sun g,3 to 2,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,17931.66667,13.40636221,sun,4.83,5780,4.85E-06,sun g,5 to 3,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,13448.75,11.06670818,sun,4.83,5780,4.85E-06,sun g,5 to 4,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,14345.33333,11.55325273,sun,4.83,5780,4.85E-06,sun g,4 to 3,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,26897.5,17.5673042,sun,4.83,5780,4.85E-06,sun g,5 to 2,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,32277,19.83775942,sun,4.83,5780,4.85E-06,sun g,3 to 1,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,61374,30.46063879,sun,4.83,5780,4.85E-06,sun h,2 to 1,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,46030.5,25.14470331,sun,4.83,5780,4.85E-06,sun h,3 to 2,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,51145,26.97438236,sun,4.83,5780,4.85E-06,sun h,5 to 3,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,38358.75,22.26686203,sun,4.83,5780,4.85E-06,sun h,5 to 4,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,40916,23.24581804,sun,4.83,5780,4.85E-06,sun h,4 to 3,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun b,Aschwaden Prediction,76717.5,35.34644021,sun,4.83,5780,4.85E-06,sun h,5 to 2,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Aschwaden Prediction,92061,39.91472848,sun,4.83,5780,4.85E-06,sun h,3 to 1,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
