planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,referenced_planet,harmonic_ratio,luminosity,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars,stellar_flux_recent_venus,stellar_flux_runaway_greenhouse,stellar_flux_maximum_greenhouse,stellar_flux_early_mars
Barnard's star c,Candidate,4.1243,0.0274,Barnard's star,9.5,3195.0,1.82823,,,0.013551894,Not in HZ,0.09585584276773378,0.12100457807442011,0.23856585101144265,0.25160303500719056,1.4749008173409142,0.9255425570348432,0.2381131831167766,0.21407612990089186
Barnard's Star c,Candidate,103229.8144,5.5,Barnard's star,9.5,3195.0,1.82823,,,0.013551894,Not in HZ,0.09585584276773378,0.12100457807442011,0.23856585101144265,0.25160303500719056,1.4749008173409142,0.9255425570348432,0.2381131831167766,0.21407612990089186
Barnard's star d,Candidate,2.3407,0.0188,Barnard's star,9.5,3195.0,1.82823,,,0.013551894,Not in HZ,0.09585584276773378,0.12100457807442011,0.23856585101144265,0.25160303500719056,1.4749008173409142,0.9255425570348432,0.2381131831167766,0.21407612990089186
Barnard's star e,Candidate,6.7377,0.0381,Barnard's star,9.5,3195.0,1.82823,,,0.013551894,Not in HZ,0.09585584276773378,0.12100457807442011,0.23856585101144265,0.25160303500719056,1.4749008173409142,0.9255425570348432,0.2381131831167766,0.21407612990089186
EPIC 211939692.01,Candidate,26.8549,43.87739057,EPIC 211939692,12.0,6417.0,24949.97293,,,0.001355189,Not in HZ,0.02664811754724976,0.03366446459177012,0.05856787799244032,0.061774229136676566,1.9083885273812649,1.1957942049037682,0.3950762197327473,0.355128231412468
EPIC 211939692.02,Candidate,39.553,43.87739057,EPIC 211939692,12.0,6417.0,24949.97293,,,0.001355189,Not in HZ,0.02664811754724976,0.03366446459177012,0.05856787799244032,0.061774229136676566,1.9083885273812649,1.1957942049037682,0.3950762197327473,0.355128231412468
EPIC 211939692.03,Candidate,230.0,43.87739057,EPIC 211939692,12.0,6417.0,24949.97293,,,0.001355189,Not in HZ,0.02664811754724976,0.03366446459177012,0.05856787799244032,0.061774229136676566,1.9083885273812649,1.1957942049037682,0.3950762197327473,0.355128231412468
EPIC 211939692.04,Candidate,293.0,43.87739057,EPIC 211939692,12.0,6417.0,24949.97293,,,0.001355189,Not in HZ,0.02664811754724976,0.03366446459177012,0.05856787799244032,0.061774229136676566,1.9083885273812649,1.1957942049037682,0.3950762197327473,0.355128231412468
eps Crv b,Candidate,31.50675256,0.305,eps Crv,2.98,4314.0,24949.97293,,,5.495408739,Not in HZ,1.8921304997820714,2.38891064719504,4.45680653007962,4.700685160807179,1.5349627035170157,0.9629421295880473,0.27666386291768064,0.2487010801294724
eps Crv c,Candidate,2.29170595,0.053,eps Crv,2.98,4314.0,24949.97293,,,5.495408739,Not in HZ,1.8921304997820714,2.38891064719504,4.45680653007962,4.700685160807179,1.5349627035170157,0.9629421295880473,0.27666386291768064,0.2487010801294724
