planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,referenced_planet,harmonic_ratio,luminosity
55 Cnc Ab,Confirmed,14.65314,0.11339,55 Cnc A,5.95,5250,12.5855,,,0.356451133
55 Cnc Ac,Confirmed,44.373,0.23735,55 Cnc A,5.95,5250,12.5855,,,0.356451133
55 Cnc Ad,Confirmed,5574.2,5.446,55 Cnc A,5.95,5250,12.5855,,,0.356451133
55 Cnc Ae,Confirmed,0.7365478,0.015439,55 Cnc A,5.95,5250,12.5855,,,0.356451133
55 Cnc Af,Confirmed,260.91,0.7733,55 Cnc A,5.95,5250,12.5855,,,0.356451133
61 Vir b,Confirmed,4.215,0.050201,61 Vir,4.74,5531,8.52,,,1.086425624
61 Vir c,Confirmed,38.021,0.2175,61 Vir,4.74,5531,8.52,,,1.086425624
61 Vir d,Confirmed,123.01,0.476,61 Vir,4.74,5531,8.52,,,1.086425624
82 Eri b,Confirmed,18.32,0.127,82 Eri,4.26,5490,6.06,,,1.690440932
82 Eri c,Confirmed,43.17,0.225,82 Eri,4.26,5490,6.06,,,1.690440932
82 Eri d,Confirmed,88.9,0.364,82 Eri,4.26,5490,6.06,,,1.690440932
82 Eri e,Confirmed,147.02,0.509,82 Eri,4.26,5490,6.06,,,1.690440932
AU Mic b,Confirmed,8.463446,0.07,AU Mic,8.6,3700,9.79,,,0.031045596
AU Mic c,Confirmed,18.859023,0.119,AU Mic,8.6,3700,9.79,,,0.031045596
AU Mic d,Confirmed,12.73812,126.8867207,AU Mic,8.6,3700,9.79,,,0.031045596
CoRoT-24 b,Confirmed,5.1134,0.056,CoRoT-24,11.2837463,4950,600,,,0.002621208
CoRoT-24 c,Confirmed,11.759,0.098,CoRoT-24,11.2837463,4950,600,,,0.002621208
CoRoT-7 Ab,Confirmed,0.8535,0.0172,CoRoT-7 A,11.7,5313,150,,,0.001786488
CoRoT-7 Ac,Confirmed,3.697,0.046,CoRoT-7 A,11.7,5313,150,,,0.001786488
CoRoT-7 Ad,Confirmed,8.966,0.08,CoRoT-7 A,11.7,5313,150,,,0.001786488
G 264-012 b,Confirmed,2.30538,0.02279,G 264-012,12,3326,15.986,,,0.001355189
G 264-012 c,Confirmed,8.0518,0.0525,G 264-012,12,3326,15.986,,,0.001355189
GJ 1002 b,Confirmed,10.3465,0.0457,GJ 1002,14,5448.139313,4.846,,,0.000214783
GJ 1002 c,Confirmed,20.202,0.0738,GJ 1002,14,5448.139313,4.846,,,0.000214783
GJ 1061 b,Confirmed,3.204,0.021,GJ 1061,13,2953,3.6732,,,0.000539511
GJ 1061 c,Confirmed,6.689,0.035,GJ 1061,13,2953,3.6732,,,0.000539511
GJ 1061 d,Confirmed,12.434,0.052,GJ 1061,13,2953,3.6732,,,0.000539511
GJ 1132 b,Confirmed,1.628931,0.0154,GJ 1132,13.5,3270,12.04,,,0.000340408
GJ 1132 c,Confirmed,8.929,0.0476,GJ 1132,13.5,3270,12.04,,,0.000340408
GJ 143 b,Confirmed,35.61253,0.1932,GJ 143,8.3,4640,16.33,,,0.040926066
GJ 143 c,Confirmed,7.78993,0.0695,GJ 143,8.3,4640,16.33,,,0.040926066
GJ 163 b,Confirmed,8.6312,0.06,GJ 163,11.8,5448.139313,15,,,0.001629296
GJ 163 c,Confirmed,25.637,0.124,GJ 163,11.8,5448.139313,15,,,0.001629296
GJ 163 d,Confirmed,604,1.021,GJ 163,11.8,5448.139313,15,,,0.001629296
GJ 163 e,Confirmed,349,0.7,GJ 163,11.8,5448.139313,15,,,0.001629296
GJ 163 f,Confirmed,109.5,0.326,GJ 163,11.8,5448.139313,15,,,0.001629296
GJ 176 b,Confirmed,8.7748,0.066,GJ 176,9.97,5448.139313,9.42,,,0.008790225
GJ 176 c,Confirmed,28.586,0.146,GJ 176,9.97,5448.139313,9.42,,,0.008790225
GJ 180 b,Confirmed,17.132,0.092,GJ 180,10.894,3371,680.241723,,,0.003753185
GJ 180 c,Confirmed,24.329,0.129,GJ 180,10.894,3371,680.241723,,,0.003753185
GJ 180 d,Confirmed,106.341,0.31,GJ 180,10.894,3371,680.241723,,,0.003753185
GJ 3138 b,Confirmed,5.974,0.057,GJ 3138,10.98,3717,680.241723,,,0.003467369
GJ 3138 c,Confirmed,1.22003,0.0197,GJ 3138,10.98,3717,680.241723,,,0.003467369
GJ 3138 d,Confirmed,257.8,0.698,GJ 3138,10.98,3717,680.241723,,,0.003467369
GJ 3293 b,Confirmed,30.5987,0.14339,GJ 3293,11.96,3466,17.9,,,0.001406048
GJ 3293 c,Confirmed,122.6196,0.36175,GJ 3293,11.96,3466,17.9,,,0.001406048
GJ 3293 d,Confirmed,48.1345,0.194,GJ 3293,11.96,3466,17.9,,,0.001406048
GJ 3293 e,Confirmed,13.2543,0.0821,GJ 3293,11.96,3466,17.9,,,0.001406048
GJ 3323 b,Confirmed,5.3636,0.03282,GJ 3323,12.22,3159,680.241723,,,0.001106624
GJ 3323 c,Confirmed,40.54,0.1264,GJ 3323,12.22,3159,680.241723,,,0.001106624
GJ 3473 b,Confirmed,1.1980035,0.01589,GJ 3473,13,3347,27.39,,,0.000539511
GJ 3473 c,Confirmed,15.509,0.0876,GJ 3473,13,3347,27.39,,,0.000539511
GJ 357 b,Confirmed,3.93086,0.033,GJ 357,11.2837463,3505,9.444,,,0.002621208
GJ 357 c,Confirmed,9.1246,0.0607,GJ 357,11.2837463,3505,9.444,,,0.002621208
GJ 357 d,Confirmed,55.698,0.204,GJ 357,11.2837463,3505,9.444,,,0.002621208
GJ 367  b,Confirmed,0.3219225,0.0069,GJ 367,10,3522,9.41,,,0.008550667
GJ 367 c,Confirmed,11.53,126.8867207,GJ 367,10,3522,9.41,,,0.008550667
GJ 367 d,Confirmed,34.369,126.8867207,GJ 367,10,3522,9.41,,,0.008550667
GJ 3929 b,Confirmed,2.6162745,0.02569,GJ 3929,12,3369,15.83,,,0.001355189
GJ 3929 c,Confirmed,14.303,0.078,GJ 3929,12,3369,15.83,,,0.001355189
GJ 3998 b,Confirmed,2.64977,0.029,GJ 3998,10.8,3722,17.8,,,0.004092607
GJ 3998 c,Confirmed,13.74,0.089,GJ 3998,10.8,3722,17.8,,,0.004092607
GJ 4276 b,Confirmed,13.35,0.082,GJ 4276,12,3387,21.35,,,0.001355189
GJ 4276 c,Confirmed,6.675,0.052,GJ 4276,12,3387,21.35,,,0.001355189
GJ 581 b,Confirmed,5.368,0.041,GJ 581,10.55,3498,6.21,,,0.005152286
GJ 581 c,Confirmed,12.919,0.074,GJ 581,10.55,3498,6.21,,,0.005152286
GJ 581 e,Confirmed,3.153,0.029,GJ 581,10.55,3498,6.21,,,0.005152286
GJ 667 Cb,Confirmed,7.2004,0.0505,GJ 667 C,10.22,3600,6.84,,,0.006982324
GJ 667 Cc,Confirmed,28.14,0.125,GJ 667 C,10.22,3600,6.84,,,0.006982324
GJ 667 Ce,Confirmed,62.24,0.213,GJ 667 C,10.22,3600,6.84,,,0.006982324
GJ 667 Cf,Confirmed,39.026,0.156,GJ 667 C,10.22,3600,6.84,,,0.006982324
GJ 667 Cg,Confirmed,256.2,0.549,GJ 667 C,10.22,3600,6.84,,,0.006982324
GJ 676 Ab,Confirmed,1051.4,1.735,GJ 676 A,9.59,5448.139313,16.45,,,0.012473835
GJ 676 Ac,Confirmed,13921.4,9.726,GJ 676 A,9.59,5448.139313,16.45,,,0.012473835
GJ 676 Ad,Confirmed,3.6,0.0413,GJ 676 A,9.59,5448.139313,16.45,,,0.012473835
GJ 676 Ae,Confirmed,35.37,0.187,GJ 676 A,9.59,5448.139313,16.45,,,0.012473835
GJ 682 b,Confirmed,17.478,0.08,GJ 682,11.2837463,3028,680.241723,,,0.002621208
GJ 682 c,Confirmed,57.32,0.176,GJ 682,11.2837463,3028,680.241723,,,0.002621208
GJ 777 Ab,Confirmed,2852.475,3.9,GJ 777 A,5.74,5549,16.0069,,,0.432513831
GJ 777 Ac,Confirmed,17.1186,0.128,GJ 777 A,5.74,5549,16.0069,,,0.432513831
GJ 777 Ad,Confirmed,88.9,0.3947,GJ 777 A,5.74,5549,16.0069,,,0.432513831
GJ 876 b,Confirmed,61.03474,0.214,GJ 876,10.17,3350,4.7,,,0.007311391
GJ 876 c,Confirmed,30.126,0.134,GJ 876,10.17,3350,4.7,,,0.007311391
GJ 876 d,Confirmed,1.938,0.021,GJ 876,10.17,3350,4.7,,,0.007311391
GJ 876 e,Confirmed,124.4,0.345,GJ 876,10.17,3350,4.7,,,0.007311391
GJ 887 b,Confirmed,9.252,0.068,GJ 887,7.34,3688,3.2871,,,0.099083194
GJ 887 c,Confirmed,21.789,0.12,GJ 887,7.34,3688,3.2871,,,0.099083194
GJ 9827 b,Confirmed,1.2089765,0.01866,GJ 9827,10.4,4255,30.3,,,0.005915616
GJ 9827 c,Confirmed,3.648086,0.03896,GJ 9827,10.4,4255,30.3,,,0.005915616
GJ 9827 d,Confirmed,6.20183,0.0555,GJ 9827,10.4,4255,30.3,,,0.005915616
HAT-P-26 b,Confirmed,4.234502,0.0479,HAT-P-26,11.74,5079,134,,,0.001721869
HAT-P-26 d,Confirmed,6.594,0.0643,HAT-P-26,11.74,5079,134,,,0.001721869
HAT-P-27 Ab,Confirmed,3.0395803,0.0403,HAT-P-27 A,12.21,5300,204,,,0.001116863
HAT-P-27 Ac,Confirmed,1.1994,0.0217,HAT-P-27 A,12.21,5300,204,,,0.001116863
HAT-P-46 b,Confirmed,4.463129,0.0577,HAT-P-46,11.936,6120,296,,,0.001437474
HAT-P-46 c,Confirmed,77.7,0.387,HAT-P-46,11.936,6120,296,,,0.001437474
HD 10180 c,Confirmed,5.75979,0.0641,HD 10180,7.33,5911,39.4,,,0.1
HD 10180 d,Confirmed,16.3579,0.1286,HD 10180,7.33,5911,39.4,,,0.1
HD 10180 e,Confirmed,49.745,0.2699,HD 10180,7.33,5911,39.4,,,0.1
HD 10180 f,Confirmed,122.76,0.4929,HD 10180,7.33,5911,39.4,,,0.1
HD 10180 g,Confirmed,601.2,1.422,HD 10180,7.33,5911,39.4,,,0.1
HD 10180 h,Confirmed,2222,3.4,HD 10180,7.33,5911,39.4,,,0.1
HD 104067 b,Confirmed,55.851,0.2674,HD 104067,7.93,4969,20.8,,,0.057543994
HD 104067 c,Confirmed,13.8992,0.1058,HD 104067,7.93,4969,20.8,,,0.057543994
Hd 104067 d,Confirmed,2.1538197,0.03,HD 104067,7.93,4969,20.8,,,0.057543994
HD 106315 b,Confirmed,9.55237,0.0907,HD 106315,9,6327,109,,,0.021478305
HD 106315 c,Confirmed,21.05704,0.1536,HD 106315,9,6327,109,,,0.021478305
HD 107148 Ab,Confirmed,48.056,0.269,HD 107148 A,8.01,5797,51.3,,,0.053456436
HD 107148 Ac,Confirmed,18.3267,0.1406,HD 107148 A,8.01,5797,51.3,,,0.053456436
HD 108236 b,Confirmed,3.79523,0.0469,HD108236,9.2,5720,64.6,,,0.017864876
HD 108236 c,Confirmed,6.2037,0.0651,HD108236,9.2,5720,64.6,,,0.017864876
HD 108236 d,Confirmed,14.17555,0.1131,HD108236,9.2,5720,64.6,,,0.017864876
HD 108236 e,Confirmed,19.5917,0.14,HD108236,9.2,5720,64.6,,,0.017864876
HD 108236 f,Confirmed,29.54115,0.1758,HD108236,9.2,5720,64.6,,,0.017864876
HD 109271 Ab,Confirmed,7.8543,0.079,HD 109271 A,8.05,5783,62,,,0.051522864
HD 109271 Ac,Confirmed,30.93,0.196,HD 109271 A,8.05,5783,62,,,0.051522864
HD 110067 b,Confirmed,9.113678,0.0793,HD 110067,8.4,5266,32.22,,,0.037325016
HD 110067 c,Confirmed,13.673694,0.104,HD 110067,8.4,5266,32.22,,,0.037325016
HD 110067 d,Confirmed,20.519617,0.136,HD 110067,8.4,5266,32.22,,,0.037325016
HD 110067 e,Confirmed,30.793091,0.1785,HD 110067,8.4,5266,32.22,,,0.037325016
HD 110067 f,Confirmed,41.05854,0.2163,HD 110067,8.4,5266,32.22,,,0.037325016
HD 110067 g,Confirmed,54.76992,0.262,HD 110067,8.4,5266,32.22,,,0.037325016
HD 110113 b,Confirmed,2.541,0.035,HD 110113,10,5732,106.3,,,0.008550667
HD 110113 c,Confirmed,6.744,0.068,HD 110113,10,5732,106.3,,,0.008550667
HD 134606 Ab,Confirmed,12.083,0.1023,HD 134606 A,6.85,5624.92,26.5,,,0.155596563
HD 134606 Ac,Confirmed,59.519,0.2962,HD 134606 A,6.85,5624.92,26.5,,,0.155596563
HD 134606 Ad,Confirmed,967.9,1.94,HD 134606 A,6.85,5624.92,26.5,,,0.155596563
HD 134606 Ae,Confirmed,4.3203,0.0527,HD 134606 A,6.85,5624.92,26.5,,,0.155596563
HD 134606 Af,Confirmed,26.915,0.1784,HD 134606 A,6.85,5624.92,26.5,,,0.155596563
HD 13808 b,Confirmed,14.1774,0.1051,HD 13808,8.38,5448.139313,28.6,,,0.03801894
HD 13808 c,Confirmed,53.804,0.2558,HD 13808,8.38,5448.139313,28.6,,,0.03801894
HD 141399 b,Confirmed,94.44,0.415,HD 141399,7.2,5600,36.17,,,0.112719746
HD 141399 c,Confirmed,201.99,0.689,HD 141399,7.2,5600,36.17,,,0.112719746
HD 141399 d,Confirmed,1069.8,2.09,HD 141399,7.2,5600,36.17,,,0.112719746
HD 141399 e,Confirmed,5000,5,HD 141399,7.2,5600,36.17,,,0.112719746
HD 1461 b,Confirmed,5.7715,0.0634,HD 1461,6.64,5765,23.4,,,0.188799135
HD 1461 c,Confirmed,13.506,0.1117,HD 1461,6.64,5765,23.4,,,0.188799135
HD 152843 b,Confirmed,11.6264,0.1049,HD 152843,8.85,6310,107.898,,,0.024660393
HD 152843 c,Confirmed,27.13,0.148,HD 152843,8.85,6310,107.898,,,0.024660393
HD 153557 Ab,Confirmed,7.3,0.068,HD 153557 A,7.82,4837,17.9412,,,0.063679552
HD 153557 Ac,Confirmed,15.3,0.111,HD 153557 A,7.82,4837,17.9412,,,0.063679552
HD 153557 Ad,Confirmed,40654.6,21.449,HD 153557 A,7.82,4837,17.9412,,,0.063679552
HD 155358 b,Confirmed,194.3,0.64,HD 155358,7.27,5900,43,,,0.105681751
HD 155358 c,Confirmed,391.9,1.02,HD 155358,7.27,5900,43,,,0.105681751
HD 158259 b,Confirmed,2.178,126.8867207,HD 158259,6.46,5448.139313,27.08,,,0.222843515
HD 158259 c,Confirmed,3.432,126.8867207,HD 158259,6.46,5448.139313,27.08,,,0.222843515
HD 158259 d,Confirmed,5.1980814,126.8867207,HD 158259,6.46,5448.139313,27.08,,,0.222843515
HD 158259 e,Confirmed,7.951,126.8867207,HD 158259,6.46,5448.139313,27.08,,,0.222843515
HD 158259 f,Confirmed,12.028,126.8867207,HD 158259,6.46,5448.139313,27.08,,,0.222843515
HD 15906 b,Confirmed,10.924709,0.09,HD 15906,9.8,4757,45.5621,,,0.010280163
HD 15906 c,Confirmed,21.583298,0.141,HD 15906,9.8,4757,45.5621,,,0.010280163
HD 164922 b,Confirmed,1207,2.16,HD 164922,6.99,5293,22.13,,,0.136772883
HD 164922 c,Confirmed,75.74,0.341,HD 164922,6.99,5293,22.13,,,0.136772883
HD 164922 d,Confirmed,12.458,0.12292,HD 164922,6.99,5293,22.13,,,0.136772883
HD 164922 e,Confirmed,41.763,0.2292,HD 164922,6.99,5293,22.13,,,0.136772883
HD 176986 b,Confirmed,6.4898,0.06296,HD 176986,8.45,4931,26.4,,,0.035645113
HD 176986 c,Confirmed,16.8191,0.11878,HD 176986,8.45,4931,26.4,,,0.035645113
HD 184010 b,Confirmed,484.4,0.937,HD 184010,5.9,4971,61.37,,,0.373250158
HD 184010 c,Confirmed,483.3,1.332,HD 184010,5.9,4971,61.37,,,0.373250158
HD 184010 d,Confirmed,837.7,1.922,HD 184010,5.9,4971,61.37,,,0.373250158
HD 189567 b,Confirmed,14.288,0.111,HD 189567,6.07,5448.139313,17.7,,,0.319153786
HD 189567 c,Confirmed,33.688,0.197,HD 189567,6.07,5448.139313,17.7,,,0.319153786
HD 191939 b,Confirmed,8.88029,0.078,HD 191939,9,5427,53.608,,,0.021478305
HD 191939 c,Confirmed,28.5805,0.17,HD 191939,9,5427,53.608,,,0.021478305
HD 191939 d,Confirmed,38.3525,0.207,HD 191939,9,5427,53.608,,,0.021478305
HD 191939 e,Confirmed,101.5,0.397,HD 191939,9,5427,53.608,,,0.021478305
HD 191939 f,Confirmed,4450,4.8,HD 191939,9,5427,53.608,,,0.021478305
HD 191939 g,Confirmed,284,0.812,HD 191939,9,5427,53.608,,,0.021478305
HD 20003 b,Confirmed,11.849,0.0974,HD 20003,8.37,5448.139313,43.8,,,0.038370725
HD 20003 c,Confirmed,33.823,0.1961,HD 20003,8.37,5448.139313,43.8,,,0.038370725
HD 200964 b,Confirmed,613.8,1.601,HD 200964,6.64,5164,68.4,,,0.188799135
HD 200964 c,Confirmed,825,1.95,HD 200964,6.64,5164,68.4,,,0.188799135
HD 20781 b,Confirmed,5.3135,0.0529,HD 20781,8.44,5448.139313,35.4,,,0.035974934
HD 20781 c,Confirmed,13.8905,0.1,HD 20781,8.44,5448.139313,35.4,,,0.035974934
HD 20781 d,Confirmed,29.158,0.1647,HD 20781,8.44,5448.139313,35.4,,,0.035974934
HD 20781 e,Confirmed,85.5073,0.3374,HD 20781,8.44,5448.139313,35.4,,,0.035974934
HD 213885 Ab,Confirmed,1.008035,0.02012,HD 213885 A,8,5978,57.97,,,0.053951062
HD 213885 Ac,Confirmed,4.78503,0.056798,HD 213885 A,8,5978,57.97,,,0.053951062
HD 215152 b,Confirmed,5.75942,0.057635,HD 215152,6.45,4935,21.5,,,0.224905461
HD 215152 c,Confirmed,7.28345,0.067399,HD 215152,6.45,4935,21.5,,,0.224905461
HD 215152 d,Confirmed,10.8642,0.08799,HD 215152,6.45,4935,21.5,,,0.224905461
HD 215152 e,Confirmed,25.1968,0.15417,HD 215152,6.45,4935,21.5,,,0.224905461
HD 216520 b,Confirmed,35.45,0.198,HD 216520,11.2837463,5103,19.56,,,0.002621208
HD 216520 c,Confirmed,154.43,0.528,HD 216520,11.2837463,5103,19.56,,,0.002621208
HD 21693 b,Confirmed,22.656,0.1484,HD 21693,7.94,5448.139313,32.4,,,0.057016427
HD 21693 c,Confirmed,53.881,0.2644,HD 21693,7.94,5448.139313,32.4,,,0.057016427
HD 219134 b,Confirmed,3.093292,0.037,HD 219134,5.57,4699,6.55,,,0.505824662
HD 219134 c,Confirmed,6.765159,0.062,HD 219134,5.57,4699,6.55,,,0.505824662
HD 219134 d,Confirmed,46.71,0.225,HD 219134,5.57,4699,6.55,,,0.505824662
HD 219134 e,Confirmed,1842,2.56,HD 219134,5.57,4699,6.55,,,0.505824662
HD 219134 f,Confirmed,22.805,0.139,HD 219134,5.57,4699,6.55,,,0.505824662
HD 219134 g,Confirmed,94.2,0.3753,HD 219134,5.57,4699,6.55,,,0.505824662
