planet_name,semi_major_axis,star_distance,star_temperature,mag_v
109 Psc b,2.051,32.56,5600,6.29
112 Psc b,0.054,31.7627,5986,5.88
112 Psc c,22.21,31.7627,5986,5.88
11 Com Ab,1.29,110.6,4742,4.74
11 UMi b,1.54,119.5,4340,5.02
14 And Ab,0.83,76.4,4813,5.22
14 Her b,2.82,18.1,5311,6.67
14 Her c,27,18.1,5311,6.67
16 Cyg Bb,1.68,21.41,5766,6.2
18 Del Ab,2.6,73.1,4979,5.52
1RXS 1609 b,330,145,4060,
1RXS J103137.1-690205  b,1725,167.612736,4862.13,11.82
1RXS J125608.8-692652 (AB)b,503,98.6,3971.38,11.831
1RXS J131752.0-505845 b,5230,157,4154.74,12.55
1RXS J235133.3+312720 Ab,120,,,13.6
1SWASP J1407 b,3.9,133,4400,12.4
23 Lib b,0.81,22.2,5740,6.45
23 Lib c,5.8,22.2,5740,6.45
24 Boo b,0.19,100,4893,5.6
24 Sex b,1.333,72.2084,5098,7.38
24 Sex c,2.08,72.2084,5098,7.38
27 Hya Ab,5.9,68.4818,5078,4.81
2M1207 A,,64.673,,
2M1207 b,42,64.673,,
2M 1253+2734 b,,,,
2M1510 A,,36.6,,
2M1510 Ab,0.0627,36.6,,
2M1510 Ac,4.4,36.6,,
2M1510 B,250,36.6,,
2MASS J0001+1535,,31.6163,,
2MASS J0004-6410,,47.4,,
2MASS J0010+1715 b,739,40.877,,10
2MASS J0021-4514 b,3900,54.5012,3182,
2MASS J0030-1450,,26.7,,
2MASS J0031+5749,,11.6,,
2MASS J0033-1521,,39,,
2MASS J0034+0523,,8.2,,
2MASS J00413538-5621127 A,,34.7133,,
2MASS J00413538-5621127 B,8.9,34.7133,,
2MASS J0045+1634,,15.4,,
2MASS J0050-3322,,8,,
2MASS J0051-5913 b,462,42.4752,3072,16.35
2MASS J0052+0012,,,,
2MASS J0052+0012 b,49,,,
2MASS J0103+1935,,21.3,,
2MASS J0103-5515 (AB)b,84,47.2,,
2MASS J0107+0041,,16.9,,
2MASS J0117-3403,,39.02,,
2MASS J0119+2403,,34.6,,
2MASS J0119+2403 b,1.9,34.6,,
2MASS J01225093-2439505 b,52,36,3530,
2MASS J0137-4558 b,6,38,2877,16.9
2MASS J0141-4633,,36.5,,
2MASS J0153-6744,,66.2,,
2MASS J0207+0000,,28.69,,
2MASS J0210-3015,,40.57,,
2MASS J0213+3648 (AB)b,360,22.2,3300,13.86
2MASS J0219-39 b,156,39.4,3064,
2MASS J0223-5815,,39.73,,
2MASS J0226-5327,,43.4,,
2MASS J0234-6442,,45,,
2MASS J0241-0326,,66,,
2MASS J0243-2453,,10.68,,
2MASS J0249-0557A,,48.9,,
2MASS J0249-0557 (AB)b,,48.9,,
2MASS J0249-0557B,,48.9,,
2MASS J0253+3206,,49.33,,
2MASS J0310+1648,,25,,
2MASS J0310+1648 b,5.2,25,,
2MASS J0318-3421,,16.5,,
2MASS J0320-0446 b,0.395,25,2300,
2MASS J0320-0446 c,8.3,25,2300,
2MASS J0323-4631,,42.4,,
2MASS J0325+0425,,22.2,,
2MASS J0326-2102,,41,,
2MASS J0328+2302,,24,,
2MASS J0337-1758,,29,,
2MASS J0337-1758 b,2.52,29,,
2MASS J0342-6817,,81,,
2MASS J0344+0111 b,9.2,33.5,,
2MASS J0348-6022,,9,,
2MASS J0355+1133,,9.1203,,
2MASS J0407+1546,,36.4421,,
2MASS J0414+2811,,131.09,,
