planet_name,semi_major_axis,star_distance,star_temperature,mag_v,absolute_magnitude,luminosity
109 Psc b,2.051,32.56,5600.0,6.29,3.7265780189141813,2.762923068184111
112 Psc b,0.054,31.7627,5986.0,5.88,3.3704129365677025,3.8356133838780644
112 Psc c,22.21,31.7627,5986.0,5.88,3.3704129365677025,3.8356133838780644
11 Com Ab,1.29,110.6,4742.0,4.74,-0.478775634843398,132.89549341308455
11 UMi b,1.54,119.5,4340.0,5.02,-0.3668395264207813,119.87698472493611
14 And Ab,0.83,76.4,4813.0,5.22,0.8045332071215503,40.75554613302287
14 Her b,2.82,18.1,5311.0,6.67,5.381607125654077,0.601668326664352
14 Her c,27.0,18.1,5311.0,6.67,5.381607125654077,0.601668326664352
16 Cyg Bb,1.68,21.41,5766.0,6.2,4.546916663527808,1.2978763973096856
18 Del Ab,2.6,73.1,4979.0,5.52,1.2004131152106972,28.303148754139038
1RXS J103137.1-690205  b,1725.0,167.612736,4862.13,11.82,5.698464923624954,0.4493803007401341
1RXS J125608.8-692652 (AB)b,503.0,98.6,3971.38,11.831,6.861615425293943,0.15394083215332563
1RXS J131752.0-505845 b,5230.0,157.0,4154.74,12.55,6.570501737953833,0.20127938871617904
1SWASP J1407 b,3.9,133.0,4400.0,12.4,6.780741795164571,0.1658453434051189
23 Lib b,0.81,22.2,5740.0,6.45,4.718235127746807,1.1084240719401064
23 Lib c,5.8,22.2,5740.0,6.45,4.718235127746807,1.1084240719401064
24 Boo b,0.19,100.0,4893.0,5.6,0.5999999999999996,49.20395356814511
24 Sex b,1.333,72.2084,5098.0,7.38,3.087061390167759,4.979381987307395
24 Sex c,2.08,72.2084,5098.0,7.38,3.087061390167759,4.979381987307395
27 Hya Ab,5.9,68.4818,5078.0,4.81,0.6321241651508869,47.7694602222817
2MASS J0051-5913 b,462.0,42.4752,3072.0,16.35,13.209322837610431,0.0004449086658669465
2MASS J0137-4558 b,6.0,38.0,2877.0,16.9,14.001082016915948,0.00021456910674624404
2MASS J0213+3648 (AB)b,360.0,22.2,3300.0,13.86,12.128235127746805,0.001204220313589698
