planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity
112 Psc b,Confirmed,4.4,0.054,112 Psc,5.88,5986,31.7627,3.835613384
112 Psc c,Confirmed,36336.7,22.21,112 Psc,5.88,5986,31.7627,3.835613384
14 Her b,Confirmed,1767.56,2.82,14 Her,6.67,5311,18.1,0.601668327
14 Her c,Confirmed,52160,27,14 Her,6.67,5311,18.1,0.601668327
23 Lib b,Confirmed,258.19,0.81,23 Lib,6.45,5740,22.2,1.108424072
23 Lib c,Confirmed,5000,5.8,23 Lib,6.45,5740,22.2,1.108424072
24 Sex b,Confirmed,452.8,1.333,24 Sex,7.38,5098,72.2084,4.979381987
24 Sex c,Confirmed,883,2.08,24 Sex,7.38,5098,72.2084,4.979381987
2MASS J0320-0446 b,Confirmed,246.73,0.395,2MASS J0320-0446,10.81796395,2300,25,0.025159062
2MASS J0320-0446 c,Confirmed,1585.448733,8.3,2MASS J0320-0446,10.81796395,2300,25,0.025159062
2MASS J0441+2301 Ab,Confirmed,1585.448733,33,2MASS J0441+2301 A,10.81796395,3400,145,0.846350833
2MASS J0441+2301 B,Confirmed,1585.448733,1800,2MASS J0441+2301 A,10.81796395,3400,145,0.846350833
2MASS J1657-5343 b,Confirmed,901915,165,2MASS J1657-5343,11.78,3568,50.5462,0.04240109
2MASS J1657-5343 c,Confirmed,1035140,180,2MASS J1657-5343,11.78,3568,50.5462,0.04240109
47 UMa b,Confirmed,1078,2.1,47 UMa,5.1,5892,13.97,1.521923462
47 UMa c,Confirmed,2391,3.6,47 UMa,5.1,5892,13.97,1.521923462
47 UMa d,Confirmed,14002,11.6,47 UMa,5.1,5892,13.97,1.521923462
51 Peg b,Confirmed,4.2308,0.052,51 Peg,5.49,5758,15.4614,1.301660218
51 Peg c,Confirmed,1585.448733,44,51 Peg,5.49,5758,15.4614,1.301660218
54 Psc b,Confirmed,62.25,0.295,54 Psc,5.8,5173,11,0.495205398
54 Psc c,Confirmed,1585.448733,476,54 Psc,5.8,5173,11,0.495205398
55 Cnc Ab,Confirmed,14.65314,0.11339,55 Cnc A,5.95,5250,12.5855,0.564600096
55 Cnc Ac,Confirmed,44.373,0.23735,55 Cnc A,5.95,5250,12.5855,0.564600096
55 Cnc Ad,Confirmed,5574.2,5.446,55 Cnc A,5.95,5250,12.5855,0.564600096
55 Cnc Ae,Confirmed,0.7365478,0.015439,55 Cnc A,5.95,5250,12.5855,0.564600096
