planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity,referenced_planet,harmonic_ratio,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars
82 Eri f,Candidate,331.41,0.875,82 Eri,4.26,5490.0,6.06,0.620790766,,nan,Conservative HZ,2.696227741594996,2.134884146477202,1.20051823924404,1.1382014663792488
82 Eri g,Candidate,11.86,0.095,82 Eri,4.26,5490.0,6.06,0.620790766,,nan,Not in HZ,2.696227741594996,2.134884146477202,1.20051823924404,1.1382014663792488
82 Eri h,Candidate,3286.203561,6.0,82 Eri,4.26,5490.0,6.06,0.620790766,,nan,Not in HZ,2.696227741594996,2.134884146477202,1.20051823924404,1.1382014663792488
AS 209 b,Candidate,3286.203561,200.0,AS 209,11.3,5688.237937,12.124,0.0037957,,nan,Not in HZ,4.442616311109586,3.5174646778747105,1.9897236956778823,1.886439084290403
AS 209 c,Candidate,3286.203561,100.0,AS 209,11.3,5688.237937,12.124,0.0037957,,nan,Not in HZ,4.442616311109586,3.5174646778747105,1.9897236956778823,1.886439084290403
Barnard's star c,Candidate,4.1243,0.0274,Barnard's star,9.5,3195.0,1.82823,0.000452962,,nan,Not in HZ,3.7432015394229956,2.965241017494364,1.5040196938901358,1.4260866853240277
Barnard's Star c,Candidate,3286.203561,5.5,Barnard's star,9.5,3195.0,1.82823,0.000452962,,nan,Not in HZ,3.7432015394229956,2.965241017494364,1.5040196938901358,1.4260866853240277
Barnard's star d,Candidate,2.3407,0.0188,Barnard's star,9.5,3195.0,1.82823,0.000452962,,nan,Not in HZ,3.7432015394229956,2.965241017494364,1.5040196938901358,1.4260866853240277
Barnard's star e,Candidate,6.7377,0.0381,Barnard's star,9.5,3195.0,1.82823,0.000452962,,nan,Not in HZ,3.7432015394229956,2.965241017494364,1.5040196938901358,1.4260866853240277
CS Cha b,Candidate,3286.203561,210.0,CS Cha,11.7,5688.237937,149.0,0.396618106,,nan,Not in HZ,4.520562894178468,3.579179292305895,2.0246337919969006,1.9195370316464067
CS Cha c,Candidate,3286.203561,3.65,CS Cha,11.7,5688.237937,149.0,0.396618106,,nan,Not in HZ,4.520562894178468,3.579179292305895,2.0246337919969006,1.9195370316464067
delta Pav b,Candidate,13505.0,11.1,delta Pav,3.55,5590.39,6.094,1.207271365,,nan,Not in HZ,2.4756945517458604,1.960204007755433,1.1056909339913021,1.0482959013017048
delta Pav c,Candidate,57.0,0.289,delta Pav,3.55,5590.39,6.094,1.207271365,,nan,Not in HZ,2.4756945517458604,1.960204007755433,1.1056909339913021,1.0482959013017048
Elias 2-24 c,Candidate,32646.6,20.0,Elias 2-24,14.4,4483.0,139.0,0.028709763,,nan,Not in HZ,4.7272523612220025,3.7440782852168932,2.022999381388768,1.9180302389345874
Elias 2-24 d,Candidate,296190.0,87.0,Elias 2-24,14.4,4483.0,139.0,0.028709763,,nan,Not in HZ,4.7272523612220025,3.7440782852168932,2.022999381388768,1.9180302389345874
EPIC 211537087.02,Candidate,42.3822512,0.2688,K2-356,13.297,5568.0,355.54,0.518772488,,nan,Not in HZ,4.785092832339339,3.788764457944103,2.1356903592245984,2.0248295481965983
EPIC 211537087.03,Candidate,3286.203561,16.13423714,K2-356,13.297,5568.0,355.54,0.518772488,,nan,Not in HZ,4.785092832339339,3.788764457944103,2.1356903592245984,2.0248295481965983
