planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity,referenced_planet,harmonic_ratio,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars
112 Psc b,Confirmed,4.4,0.054,112 Psc,5.88,5986.0,31.7627,3.835613384,,nan,Not in HZ,3.2631905209971106,2.583408112628246,1.4725078090932935,1.3960721470242754
112 Psc c,Confirmed,36336.7,22.21,112 Psc,5.88,5986.0,31.7627,3.835613384,,nan,Not in HZ,3.2631905209971106,2.583408112628246,1.4725078090932935,1.3960721470242754
14 Her b,Confirmed,1767.56,2.82,14 Her,6.67,5311.0,18.1,0.601668327,,nan,Not in HZ,3.340113564113159,2.6448599309143015,1.478504487810017,1.4017602477648776
14 Her c,Confirmed,52160.0,27.0,14 Her,6.67,5311.0,18.1,0.601668327,,nan,Not in HZ,3.340113564113159,2.6448599309143015,1.478504487810017,1.4017602477648776
23 Lib b,Confirmed,258.19,0.81,23 Lib,6.45,5740.0,22.2,1.108424072,,nan,Conservative HZ,3.3668766019796945,2.6656989428023805,1.510065416268103,1.43167931689783
23 Lib c,Confirmed,5000.0,5.8,23 Lib,6.45,5740.0,22.2,1.108424072,,nan,Not in HZ,3.3668766019796945,2.6656989428023805,1.510065416268103,1.43167931689783
24 Sex b,Confirmed,452.8,1.333,24 Sex,7.38,5098.0,72.2084,4.979381987,,nan,Not in HZ,3.474360836204208,2.751335090073144,1.5261316917716143,1.446919794749442
24 Sex c,Confirmed,883.0,2.08,24 Sex,7.38,5098.0,72.2084,4.979381987,,nan,Not in HZ,3.474360836204208,2.751335090073144,1.5261316917716143,1.446919794749442
2MASS J0320-0446 b,Confirmed,246.73,0.395,2MASS J0320-0446,10.81796395,2300.0,25.0,0.025159062,,nan,Conservative HZ,3.942187683365601,3.1232952162832035,1.5240731890575627,1.4452262788899817
2MASS J0320-0446 c,Confirmed,1585.448733,8.3,2MASS J0320-0446,10.81796395,2300.0,25.0,0.025159062,,nan,Not in HZ,3.942187683365601,3.1232952162832035,1.5240731890575627,1.4452262788899817
