planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity,referenced_planet,harmonic_ratio,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars,predicted_habitable_zone_status_Random Forest,predicted_habitable_zone_status_Decision Tree,predicted_habitable_zone_status_K-Neighbors,predicted_habitable_zone_status_SVM,HZ_distance_HZ_distance_recent_venus_Random Forest_prediction,HZ_distance_HZ_distance_recent_venus_Decision Tree_prediction,HZ_distance_HZ_distance_recent_venus_K-Neighbors_prediction,HZ_distance_HZ_distance_recent_venus_SVM_prediction,HZ_distance_HZ_distance_recent_venus_Linear Regression_prediction,HZ_distance_HZ_distance_recent_venus_Polynomial Regression_prediction,HZ_distance_HZ_distance_runaway_greenhouse_Random Forest_prediction,HZ_distance_HZ_distance_runaway_greenhouse_Decision Tree_prediction,HZ_distance_HZ_distance_runaway_greenhouse_K-Neighbors_prediction,HZ_distance_HZ_distance_runaway_greenhouse_SVM_prediction,HZ_distance_HZ_distance_runaway_greenhouse_Linear Regression_prediction,HZ_distance_HZ_distance_runaway_greenhouse_Polynomial Regression_prediction,HZ_distance_HZ_distance_maximum_greenhouse_Random Forest_prediction,HZ_distance_HZ_distance_maximum_greenhouse_Decision Tree_prediction,HZ_distance_HZ_distance_maximum_greenhouse_K-Neighbors_prediction,HZ_distance_HZ_distance_maximum_greenhouse_SVM_prediction,HZ_distance_HZ_distance_maximum_greenhouse_Linear Regression_prediction,HZ_distance_HZ_distance_maximum_greenhouse_Polynomial Regression_prediction,HZ_distance_HZ_distance_early_mars_Random Forest_prediction,HZ_distance_HZ_distance_early_mars_Decision Tree_prediction,HZ_distance_HZ_distance_early_mars_K-Neighbors_prediction,HZ_distance_HZ_distance_early_mars_SVM_prediction,HZ_distance_HZ_distance_early_mars_Linear Regression_prediction,HZ_distance_HZ_distance_early_mars_Polynomial Regression_prediction
82 Eri f,Candidate,331.41,0.875,82 Eri,4.26,5490.0,6.06,0.620790766,,,Conservative HZ,2.696227741594996,2.134884146477202,1.20051823924404,1.1382014663792488,Conservative HZ,Conservative HZ,Conservative HZ,Not in HZ,2.693067287588926,2.685692894908083,3.934476968993896,4.272758377036441,3.0239508995455475,2.682226067969994,2.1326365147563275,2.1271396801926685,3.1153347022017597,3.3773340068756115,2.3941165775375697,2.123874972050678,1.200518239244037,1.20051823924404,1.7518553999828719,1.8774148423222328,1.3675223638461642,1.1845530419678498,1.138201466379247,1.138201466379249,1.6609197122801933,1.7787738642659328,1.2965231299176474,1.1230754947156183
82 Eri g,Candidate,11.86,0.095,82 Eri,4.26,5490.0,6.06,0.620790766,,,Not in HZ,2.696227741594996,2.134884146477202,1.20051823924404,1.1382014663792488,Not in HZ,Not in HZ,Not in HZ,Not in HZ,2.696227741595003,2.696227741594996,4.26343828279396,4.3059294135938995,3.0240378836391555,2.6830219757854694,2.134884146477199,2.1348841464772024,3.3758114396817787,3.405004270424086,2.39418526212322,2.124504172317639,1.200518239244037,1.20051823924404,1.898127560159228,1.8942412516558043,1.3675826939143194,1.1850593036791173,1.138201466379247,1.138201466379249,1.799599167305761,1.7949887560091478,1.2965803110648761,1.1235553108832277
82 Eri h,Candidate,3286.203561,6.0,82 Eri,4.26,5490.0,6.06,0.620790766,,,Not in HZ,2.696227741594996,2.134884146477202,1.20051823924404,1.1382014663792488,Not in HZ,Not in HZ,Not in HZ,Not in HZ,2.64769381895392,2.6566527274870566,3.654156627946926,3.9810383628848776,3.023199877807164,2.6756379679580817,2.0933159452522334,2.103732631503273,2.8933443217755666,3.1357240296703357,2.393523581006719,2.1186666131937653,1.1996438230059498,1.20051823924404,1.6287248643245849,1.7335076786642354,1.367001640605705,1.180352057334284,1.137648850864964,1.138201466379249,1.5441804384620688,1.6404278954970886,1.2960295819372065,1.119093987727601
AS 209 b,Candidate,3286.203561,200.0,AS 209,11.3,5688.237937,12.124,0.0037957,,,Not in HZ,4.442616311109586,3.5174646778747105,1.9897236956778823,1.886439084290403,Not in HZ,Not in HZ,Not in HZ,Not in HZ,4.459848675029857,4.49109781783491,3.751169526645165,4.004657955021861,4.279722688577236,4.4509060812247325,3.532251060963701,3.5244214470196122,2.969995980510933,3.1533993093238553,3.388817532692986,3.5240446533162917,1.9955087764107473,1.9950913370550822,1.680528948365661,1.7512911321017186,1.885786464182083,1.9938332821771207,1.891966357168844,1.8915280282796216,1.5932944646359957,1.656751268508969,1.787918220782231,1.890332204440921
AS 209 c,Candidate,3286.203561,100.0,AS 209,11.3,5688.237937,12.124,0.0037957,,,Not in HZ,4.442616311109586,3.5174646778747105,1.9897236956778823,1.886439084290403,Not in HZ,Not in HZ,Not in HZ,Not in HZ,4.459848675029857,4.49109781783491,3.751169526645165,4.001011169168049,4.282275895241038,4.444680856981546,3.532251060963701,3.5244214470196122,2.969995980510933,3.149772395154873,3.390834896648013,3.5191246484441185,1.9955087764107473,1.9950913370550822,1.680528948365661,1.7492666084541582,1.8875653218877781,1.9899014961305954,1.891966357168844,1.8915280282796216,1.5932944646359957,1.6548569692629638,1.7896040477737332,1.8866056511843805
Barnard's star c,Candidate,4.1243,0.0274,Barnard's star,9.5,3195.0,1.82823,0.000452962,,,Not in HZ,3.743201539422996,2.965241017494364,1.5040196938901358,1.4260866853240275,Not in HZ,Not in HZ,Not in HZ,Not in HZ,3.806658156837254,3.805785722844408,4.857771035910479,4.076907510543611,4.13349594296981,3.5953601637007644,3.015222310334345,3.0146517657956,3.8481666755890123,3.2528723536175073,3.27344715879401,2.848632711124502,1.535186418875476,1.549940309342442,1.9517614552119145,1.711585880080376,1.7865172179592377,1.4456907239639887,1.453245515605517,1.4696067341724888,1.850628192063437,1.6279237244458242,1.6938208890760693,1.3707354513404177
Barnard's Star c,Candidate,3286.203561,5.5,Barnard's star,9.5,3195.0,1.82823,0.000452962,,,Not in HZ,3.743201539422996,2.965241017494364,1.5040196938901358,1.4260866853240275,Not in HZ,Not in HZ,Not in HZ,Not in HZ,3.811370491363468,3.805785722844408,4.119506281059193,3.7629518521375855,4.132667353588052,3.576132211026458,3.020526479799709,3.0146517657956,3.263258814719623,2.9916976766435637,3.272792918960737,2.8334287693116806,1.5349688068405924,1.549940309342442,1.673782454256686,1.556943857807625,1.7859427318443495,1.4331675067918694,1.4532181795653438,1.469606734172489,1.5870250665447003,1.4787918418216137,1.6932763835403675,1.3588669501019748
Barnard's star d,Candidate,2.3407,0.0188,Barnard's star,9.5,3195.0,1.82823,0.000452962,,,Not in HZ,3.743201539422996,2.965241017494364,1.5040196938901358,1.4260866853240275,Not in HZ,Not in HZ,Not in HZ,Not in HZ,3.806658156837254,3.805785722844408,4.857771035910479,4.0770875976550425,4.13349653689831,3.5953717236087908,3.015222310334345,3.0146517657956,3.8481666755890123,3.2530231020422224,3.2734476278282214,2.8486418513662923,1.535186418875476,1.549940309342442,1.9517614552119145,1.711677383521688,1.786517630234065,1.445698223461632,1.453245515605517,1.4696067341724888,1.850628192063437,1.6280121374060479,1.69382127982447,1.3707425588501767
Barnard's star e,Candidate,6.7377,0.0381,Barnard's star,9.5,3195.0,1.82823,0.000452962,,,Not in HZ,3.743201539422996,2.965241017494364,1.5040196938901358,1.4260866853240275,Not in HZ,Not in HZ,Not in HZ,Not in HZ,3.806658156837254,3.805785722844408,4.857771035910479,4.076643587339211,4.133495121260539,3.5953434890119222,3.015222310334345,3.0146517657956,3.8481666755890123,3.2526514181414985,3.2734465098980436,2.8486195266012344,1.5351579292577355,1.549940309342442,1.9517614552119145,1.7114517810492231,1.7865166476951928,1.4456798987989958,1.4530796630022138,1.4696067341724888,1.850628192063437,1.627794156030852,1.6938203485848167,1.370725192014267
CS Cha b,Candidate,3286.203561,210.0,CS Cha,11.7,5688.237937,149.0,0.396618106,,,Not in HZ,4.520562894178468,3.579179292305895,2.0246337919969006,1.9195370316464069,Not in HZ,Not in HZ,Not in HZ,Not in HZ,4.522394143123485,4.520718945107423,3.751169526645165,4.005033968494191,4.351955932027355,4.521786398586542,3.5800964111514695,3.568556875411357,2.969995980510933,3.1537699724306423,3.44603564592758,3.580179160711385,2.0308018342925584,2.042108059582809,1.680528948365661,1.7514975661875805,1.9154391418585468,2.0245283285388735,1.9250003971469984,1.936104123906695,1.5932944646359957,1.6569445253756965,1.8160336761185105,1.9194342969369118
