planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,referenced_planet,harmonic_ratio,luminosity,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars,stellar_flux_recent_venus,stellar_flux_runaway_greenhouse,stellar_flux_maximum_greenhouse,stellar_flux_early_mars,predicted_habitable_zone_status_Random Forest,predicted_habitable_zone_status_Decision Tree,predicted_habitable_zone_status_K-Neighbors,predicted_habitable_zone_status_SVM,HZ_distance_recent_venus_Random Forest_prediction,HZ_distance_recent_venus_Decision Tree_prediction,HZ_distance_recent_venus_K-Neighbors_prediction,HZ_distance_recent_venus_SVM_prediction,HZ_distance_recent_venus_Linear Regression_prediction,HZ_distance_recent_venus_Polynomial Regression_prediction,HZ_distance_runaway_greenhouse_Random Forest_prediction,HZ_distance_runaway_greenhouse_Decision Tree_prediction,HZ_distance_runaway_greenhouse_K-Neighbors_prediction,HZ_distance_runaway_greenhouse_SVM_prediction,HZ_distance_runaway_greenhouse_Linear Regression_prediction,HZ_distance_runaway_greenhouse_Polynomial Regression_prediction,HZ_distance_maximum_greenhouse_Random Forest_prediction,HZ_distance_maximum_greenhouse_Decision Tree_prediction,HZ_distance_maximum_greenhouse_K-Neighbors_prediction,HZ_distance_maximum_greenhouse_SVM_prediction,HZ_distance_maximum_greenhouse_Linear Regression_prediction,HZ_distance_maximum_greenhouse_Polynomial Regression_prediction,HZ_distance_early_mars_Random Forest_prediction,HZ_distance_early_mars_Decision Tree_prediction,HZ_distance_early_mars_K-Neighbors_prediction,HZ_distance_early_mars_SVM_prediction,HZ_distance_early_mars_Linear Regression_prediction,HZ_distance_early_mars_Polynomial Regression_prediction,stellar_flux_recent_venus_Random Forest_prediction,stellar_flux_recent_venus_Decision Tree_prediction,stellar_flux_recent_venus_K-Neighbors_prediction,stellar_flux_recent_venus_SVM_prediction,stellar_flux_recent_venus_Linear Regression_prediction,stellar_flux_recent_venus_Polynomial Regression_prediction,stellar_flux_runaway_greenhouse_Random Forest_prediction,stellar_flux_runaway_greenhouse_Decision Tree_prediction,stellar_flux_runaway_greenhouse_K-Neighbors_prediction,stellar_flux_runaway_greenhouse_SVM_prediction,stellar_flux_runaway_greenhouse_Linear Regression_prediction,stellar_flux_runaway_greenhouse_Polynomial Regression_prediction,stellar_flux_maximum_greenhouse_Random Forest_prediction,stellar_flux_maximum_greenhouse_Decision Tree_prediction,stellar_flux_maximum_greenhouse_K-Neighbors_prediction,stellar_flux_maximum_greenhouse_SVM_prediction,stellar_flux_maximum_greenhouse_Linear Regression_prediction,stellar_flux_maximum_greenhouse_Polynomial Regression_prediction,stellar_flux_early_mars_Random Forest_prediction,stellar_flux_early_mars_Decision Tree_prediction,stellar_flux_early_mars_K-Neighbors_prediction,stellar_flux_early_mars_SVM_prediction,stellar_flux_early_mars_Linear Regression_prediction,stellar_flux_early_mars_Polynomial Regression_prediction
Barnard's star c,Candidate,4.1243,0.0274,Barnard's star,9.5,3195.0,1.82823,,,0.013551894,Not in HZ,0.0958558427677337,0.1210045780744201,0.2385658510114426,0.2516030350071905,1.4749008173409142,0.9255425570348432,0.2381131831167766,0.2140761299008918,Not in HZ,Not in HZ,Conservative HZ,Not in HZ,0.07573027805500253,0.07537291937379581,0.027401532,0.09948136513672035,0.11138391619219642,0.09916568318151564,0.0962727731507534,0.09518022858188835,0.034590468,0.10192348727296352,0.1406495168775455,0.12518098309892878,0.17389451588294366,0.17372930102504838,0.068313183,0.09937448016318684,0.2570956998640548,0.23945595351413362,0.1838342780044855,0.18323681431406472,0.072046163,0.09902051112091503,0.27116628910023344,0.25255455328449505,1.4915035301005954,1.4865105837070707,1.473839866,1.4802660502928382,-8.853860286081982e+33,1.0945304222741639e+33,1.041698158467969,1.0571510183961244,0.924883712,0.9325236060607391,-5.533662678801177e+33,6.840815137693553e+32,0.2880407297060846,0.2411737287169459,0.237132434,0.24531110908532439,-1.6956723494326646e+33,2.0962212101933746e+32,0.2869535123120575,0.2945769476539455,0.213195623,0.22129898195121722,-1.521757236670339e+33,1.881224163301279e+32
Barnard's Star c,Candidate,103229.8144,5.5,Barnard's star,9.5,3195.0,1.82823,,,0.013551894,Not in HZ,0.0958558427677337,0.1210045780744201,0.2385658510114426,0.2516030350071905,1.4749008173409142,0.9255425570348432,0.2381131831167766,0.2140761299008918,Not in HZ,Not in HZ,Not in HZ,Not in HZ,0.07573027805500253,0.07537291937379581,0.6419493796,0.4495017453567276,0.38740087851196636,0.12248247165614284,0.0962727731507534,0.09518022858188835,0.8108019628,0.5748105076954273,0.48942187404692966,0.15455439327625303,0.17389451588294366,0.17372930102504838,1.4327103716,1.060340275159364,0.8427511989325055,0.2959630382158106,0.1838342780044855,0.18323681431406472,1.5111518244,1.1174748150093123,0.8888967068358917,0.31216465348529265,1.4915035301005954,1.4865105837070707,1.731964105,4.200360331630306,-9.271467486909083e+33,5.568525310945933e+32,1.041698158467969,1.0571510183961244,1.0857764682,3.5593356128178044,-5.794667179316217e+33,3.480327892805965e+32,0.2880407297060846,0.2411737287169459,0.34511005619999996,2.8192033325888155,-1.775651585662504e+33,1.0664719623668998e+32,0.2869535123120575,0.2945769476539455,0.3102125118,2.78514300087854,-1.593533474312552e+33,9.57090268610317e+31
Barnard's star d,Candidate,2.3407,0.0188,Barnard's star,9.5,3195.0,1.82823,,,0.013551894,Not in HZ,0.0958558427677337,0.1210045780744201,0.2385658510114426,0.2516030350071905,1.4749008173409142,0.9255425570348432,0.2381131831167766,0.2140761299008918,Not in HZ,Not in HZ,Conservative HZ,Not in HZ,0.07573027805500253,0.07537291937379581,0.027401532,0.10006818620885172,0.11137934435461322,0.09916571360755766,0.0962727731507534,0.09518022858188835,0.034590468,0.1026174130389963,0.14064373980711076,0.12518102261688713,0.17389451588294366,0.17372930102504838,0.068313183,0.09973560500386847,0.25708603110587824,0.2394557348109403,0.1838342780044855,0.18323681431406472,0.072046163,0.09945611783585773,0.27115609079196845,0.252554322757234,1.4915035301005954,1.4865105837070707,1.473839866,1.4815762667175911,-8.853812545683401e+33,1.0945277776850155e+33,1.041698158467969,1.0571510183961244,0.924883712,0.9338187165363259,-5.533632841052062e+33,6.840798609007732e+32,0.2880407297060846,0.2411737287169459,0.237132434,0.24659521198628376,-1.6956632062938286e+33,2.096216145332106e+32,0.2869535123120575,0.2945769476539455,0.213195623,0.22258127271932215,-1.5217490312893326e+33,1.881219617913634e+32
Barnard's star e,Candidate,6.7377,0.0381,Barnard's star,9.5,3195.0,1.82823,,,0.013551894,Not in HZ,0.0958558427677337,0.1210045780744201,0.2385658510114426,0.2516030350071905,1.4749008173409142,0.9255425570348432,0.2381131831167766,0.2140761299008918,Not in HZ,Not in HZ,Conservative HZ,Not in HZ,0.07573027805500253,0.07537291937379581,0.027401532,0.09862186629633607,0.11139065913851642,0.09916565093629093,0.0962727731507534,0.09518022858188835,0.034590468,0.10090770709319496,0.1406580373739621,0.1251809407719503,0.17389451588294366,0.17372930102504838,0.068313183,0.09884559752293698,0.25710996761226634,0.23945630952531816,0.1838342780044855,0.18323681431406472,0.072046163,0.09838288921248695,0.27118133827779844,0.2525549285544688,1.4915035301005954,1.4865105837070707,1.473839866,1.4783630807054475,-8.853921179475849e+33,1.0945308372047865e+33,1.041698158467969,1.0571510183961244,0.924883712,0.9306422207307481,-5.533700737172344e+33,6.840817731015291e+32,0.2880407297060846,0.2411737287169459,0.237132434,0.24344554703772348,-1.6956840116049717e+33,2.0962220048607865e+32,0.2869535123120575,0.2945769476539455,0.213195623,0.21943602281243457,-1.5217677027224097e+33,1.881224876463346e+32
EPIC 211939692.01,Candidate,26.8549,43.87739057,EPIC 211939692,12.0,6417.0,24949.97293,,,0.001355189,Not in HZ,0.0266481175472497,0.0336644645917701,0.0585678779924403,0.0617742291366765,1.9083885273812649,1.1957942049037682,0.3950762197327473,0.355128231412468,Not in HZ,Not in HZ,Not in HZ,Not in HZ,0.03852989811974929,0.03848735185237997,0.037065047399999995,0.11969664487546616,0.03499446507627624,0.026559679766894828,0.048673798921729926,0.048605718746579846,0.046824107600000005,0.11871846168724298,0.04420445444837395,0.03355582993045492,0.08736077290462052,0.08732092022316434,0.0814649634,0.15663194697663507,0.07669839990736993,0.05642894007200061,0.0921331229451198,0.09210078170148327,0.085924838,0.16051946672293993,0.08089856041666743,0.05952044133437573,1.8579692110749366,1.8620609730121676,1.9079788756,1.9722918625179653,4.9401273161858656e+33,6.952433073002978e+32,1.0710678586529603,1.0571510183961244,1.1955387416,1.257863274829936,3.0875795726161314e+33,4.345270671125961e+32,0.35228593483437,0.38103816603167884,0.3949677824,0.45618957213855404,9.461225976088107e+32,1.3315150841514735e+32,0.2993741209969165,0.2945769476539455,0.3550307424,0.41627827907041937,8.49084382469446e+32,1.1949494344135914e+32
EPIC 211939692.02,Candidate,39.553,43.87739057,EPIC 211939692,12.0,6417.0,24949.97293,,,0.001355189,Not in HZ,0.0266481175472497,0.0336644645917701,0.0585678779924403,0.0617742291366765,1.9083885273812649,1.1957942049037682,0.3950762197327473,0.355128231412468,Not in HZ,Not in HZ,Not in HZ,Not in HZ,0.03852989811974929,0.03848735185237997,0.0370505406,0.12046497333139855,0.03502843436704722,0.02655940132713447,0.048673798921729926,0.048605718746579846,0.0468058684,0.1191931410244525,0.04424737770366266,0.033555482154796645,0.08736077290462052,0.08732092022316434,0.08142458059999999,0.15567193065488472,0.07677047879972732,0.056426898754333266,0.0921331229451198,0.09210078170148327,0.085882236,0.15951932441255112,0.08097458689233694,0.05951828943420301,1.8579692110749366,1.8620609730121676,1.9094732803999999,1.9648440563962848,4.940079152586728e+33,6.954795836660564e+32,1.0710678586529603,1.0571510183961244,1.1964706704,1.2501596476132804,3.08754947036667e+33,4.346747398465641e+32,0.35228593483437,0.38103816603167884,0.3953596496,0.4482902592950717,9.461133734195116e+32,1.3319675955961423e+32,0.2993741209969165,0.2945769476539455,0.35538305560000005,0.4083370971385829,8.490761043508438e+32,1.1953555344176819e+32
EPIC 211939692.03,Candidate,230.0,43.87739057,EPIC 211939692,12.0,6417.0,24949.97293,,,0.001355189,Not in HZ,0.0266481175472497,0.0336644645917701,0.0585678779924403,0.0617742291366765,1.9083885273812649,1.1957942049037682,0.3950762197327473,0.355128231412468,Not in HZ,Not in HZ,Conservative HZ,Not in HZ,0.03852989811974929,0.03848735185237997,0.20378952900000002,0.13077729524340104,0.03553790818749786,0.026555305567650067,0.048673798921729926,0.048605718746579846,0.25744950959999996,0.13027012267992216,0.04489114371589825,0.03355036756881635,0.08736077290462052,0.08732092022316434,0.4476076111999999,0.1523751764612904,0.0778515231144511,0.056396409554885674,0.0921331229451198,0.09210078170148327,0.4721119948,0.15789377839505003,0.08211483734018599,0.05948614872203617,1.8579692110749366,1.8620609730121676,1.9072323898,1.9070660667469892,4.939356791527568e+33,6.99024086714992e+32,1.0710678586529603,1.0571510183961244,1.1950732301999998,1.1906440977828314,3.0870979947047e+33,4.368900543323867e+32,0.35228593483437,0.38103816603167884,0.39475975260000007,0.38755542728678405,9.45975028377378e+32,1.3387559520619266e+32,0.2993741209969165,0.2945769476539455,0.354843743,0.34717634447175794,8.48951948543801e+32,1.2014476490394484e+32
EPIC 211939692.04,Candidate,293.0,43.87739057,EPIC 211939692,12.0,6417.0,24949.97293,,,0.001355189,Not in HZ,0.0266481175472497,0.0336644645917701,0.0585678779924403,0.0617742291366765,1.9083885273812649,1.1957942049037682,0.3950762197327473,0.355128231412468,Not in HZ,Not in HZ,Not in HZ,Not in HZ,0.03852989811974929,0.03848735185237997,0.1396834602,0.13307978342476084,0.035706442481492406,0.026553983828221217,0.048673798921729926,0.048605718746579846,0.1764634596,0.13571610090140612,0.04510410196029613,0.033548717500101466,0.08736077290462052,0.08732092022316434,0.30681968519999997,0.15433267338137446,0.07820913332531076,0.05638637596700913,0.0921331229451198,0.09210078170148327,0.3236166158,0.16154392829083808,0.08249203298104402,0.05947557170633555,1.8579692110749366,1.8620609730121676,1.9017934961999998,1.9079847858468582,4.939117833987005e+33,7.001969465040407e+32,1.0710678586529603,1.0571510183961244,1.1916814728000003,1.1917995175350344,3.0869486462418494e+33,4.376230917269939e+32,0.35228593483437,0.38103816603167884,0.3933301094,0.3889593960012432,9.45929263741262e+32,1.3410021880566178e+32,0.2993741209969165,0.2945769476539455,0.353558413,0.3485278527306326,8.489108777165167e+32,1.2034635018039825e+32
eps Crv b,Candidate,31.50675256,0.305,eps Crv,2.98,4314.0,24949.97293,,,5.495408739,Not in HZ,1.8921304997820716,2.38891064719504,4.45680653007962,4.700685160807179,1.5349627035170157,0.9629421295880471,0.2766638629176806,0.2487010801294724,Not in HZ,Not in HZ,Not in HZ,Not in HZ,1.4000205580000022,1.4240208619999999,0.029711522,0.23262670462283142,2.652510631018127,2.2423332631076844,1.7642463813625018,1.7983707339999997,0.037512317,0.24914556942701171,3.349830760503411,2.8304079320106674,3.164967158499997,3.213413357999998,0.069977111,0.33935316457839293,5.984058566785215,5.339060870414612,3.331854863125001,3.3893440989999997,0.073806299,0.34873171417240667,6.311677147246181,5.631280935377664,1.5395555399034389,1.5358736221309324,1.535147845,1.6090660980562577,1.4339840196707237e+33,2.2367706621590202e+33,1.0455437624563504,1.0571510183961244,0.963057528,1.0376956949012306,8.962400122942283e+32,1.3979816637511645e+33,0.30710053893967715,0.2823962461244636,0.276750227,0.3523429846102637,2.7463354662443823e+32,4.2838152411431994e+32,0.2906933447941117,0.2945769476539455,0.24877867299999998,0.3242589464408674,2.4646600338090672e+32,3.844449575585884e+32
eps Crv c,Candidate,2.29170595,0.053,eps Crv,2.98,4314.0,24949.97293,,,5.495408739,Not in HZ,1.8921304997820716,2.38891064719504,4.45680653007962,4.700685160807179,1.5349627035170157,0.9629421295880471,0.2766638629176806,0.2487010801294724,Not in HZ,Conservative HZ,Not in HZ,Not in HZ,1.4000205580000022,1.4240208619999999,0.029711522,0.23153649351997574,2.6524383238999407,2.2423614874266384,1.7642463813625018,1.7983707339999997,0.037512317,0.2480654425525044,3.3497393897841317,2.830443232227865,3.164967158499997,3.213413357999998,0.069977111,0.3359726371630425,5.9839060815584535,5.339207130006371,3.331854863125001,3.3893440989999997,0.073806299,0.34571140412411805,6.311516310309614,5.631435167055159,1.5395555399034389,1.5358736221309324,1.535147845,1.6308640391075326,1.4352955016384782e+33,2.2400061904061396e+33,1.0455437624563504,1.0571510183961244,0.963057528,1.0592003897652758,8.970596885240754e+32,1.4000038688973424e+33,0.30710053893967715,0.2823962461244636,0.276750227,0.3734564016755777,2.748847188405833e+32,4.290011855491372e+32,0.2906933447941117,0.2945769476539455,0.24877867299999998,0.34536898039019537,2.4669141434411503e+32,3.85001063975956e+32
